category,organization,source_name,source_url,source_type,coverage,notes
core,OGD India,data.gov.in,https://data.gov.in,data portal,"Main open data hub, 7 lakh+ datasets","Main open data hub, 7 lakh+ datasets"
core,OGD India,data.gov.in APIs,https://www.data.gov.in/apis,data portal,Machine-readable data APIs,Machine-readable data APIs
core,OGD India,data.gov.in Sector Index,https://www.data.gov.in/sector,data portal,Sectoral dataset index,Sectoral dataset index
core,OGD India,data.gov.in Metrics,https://www.data.gov.in/metrics,data portal,Publisher activity dashboard,Publisher activity dashboard
core,OGD India,India.gov.in,https://www.india.gov.in,data portal,National citizen portal,National citizen portal
core,OGD India,iGOD Organizations,https://igod.gov.in,data portal,Central govt directory,Central govt directory
core,OGD India,iGOD Full Org List,https://igod.gov.in/ug/E002/organizations,data portal,Full organization directory,Full organization directory
core,OGD India,MyGov,https://mygov.in,data portal,Citizen engagement platform,Citizen engagement platform
legislation,Parliament/Legislation,India Code,https://www.indiacode.nic.in,legal,"All central acts, constitution, rules","All central acts, constitution, rules"
legislation,Parliament/Legislation,Legislative Dept,https://legislative.gov.in,legal,"Acts, constitution, rules","Acts, constitution, rules"
legislation,Parliament/Legislation,eGazette of India,https://egazette.nic.in,legal,"Ordinances, notifications, acts","Ordinances, notifications, acts"
legislation,Parliament/Legislation,Lok Sabha Portal,https://loksabha.nic.in,legal,"Debates, questions, bills, members","Debates, questions, bills, members"
legislation,Parliament/Legislation,Rajya Sabha Portal,https://rajyasabha.nic.in,legal,"Debates, questions, bills","Debates, questions, bills"
legislation,Parliament/Legislation,Lok Sabha Questions Archive,https://loksabhadocs.nic.in,legal,Starred/unstarred questions,Starred/unstarred questions
legislation,Parliament/Legislation,MPA Bills List,https://mpa.gov.in/bills-list,legal,Government bills introduced,Government bills introduced
legislation,Parliament/Legislation,MPA Portal,https://mpa.gov.in,legal,Ministry of Parliamentary Affairs,Ministry of Parliamentary Affairs
legislation,Parliament/Legislation,PRS India Bill Tracker,https://prsindia.org/legislation,legal,"Bill status, summaries","Bill status, summaries"
legal_text,India Code,IPC 1860 Full Text,https://www.indiacode.nic.in/bitstream/123456789/2263/1/A1860-45.pdf,legislation,Indian Penal Code — all 511 sections,Indian Penal Code — all 511 sections
legal_text,India Code,Constitution of India,https://www.indiacode.nic.in/handle/123456789/15240,legislation,"All articles, schedules, amendments","All articles, schedules, amendments"
legal_text,India Code,CrPC Criminal Procedure Code,https://www.indiacode.nic.in/bitstream/123456789/1362/1/a1974-02.pdf,legislation,Code of Criminal Procedure,Code of Criminal Procedure
legal_text,India Code,PMLA 2002,https://www.indiacode.nic.in/handle/123456789/2036,legislation,Prevention of Money Laundering Act,Prevention of Money Laundering Act
legal_text,India Code,Prevention of Corruption Act,https://www.indiacode.nic.in/handle/123456789/2037,legislation,PCA 1988 with 2018 amendments,PCA 1988 with 2018 amendments
legal_text,India Code,RTI Act 2005,https://www.indiacode.nic.in/handle/123456789/1872,legislation,Right to Information Act full text,Right to Information Act full text
legal_text,India Code,Companies Act 2013,https://www.indiacode.nic.in/handle/123456789/2479,legislation,Corporate law provisions,Corporate law provisions
legal_text,India Code,Forest Conservation Act 1980,https://www.indiacode.nic.in/handle/123456789/13482,legislation,"Forest diversion rules, FCA 1980","Forest diversion rules, FCA 1980"
legal_text,India Code,Environment Protection Act 1986,https://www.indiacode.nic.in/handle/123456789/7654,legislation,EPA 1986 provisions,EPA 1986 provisions
legal_text,India Code,FEMA 1999,https://www.indiacode.nic.in/handle/123456789/4679,legislation,Foreign exchange violations,Foreign exchange violations
legal_text,India Code,Insolvency Bankruptcy Code IBC,https://ibbi.gov.in,legislation,IBC 2016 full text,IBC 2016 full text
legal_text,India Code,SEBI Act 1992,https://www.sebi.gov.in/legal/acts/jun-1992/the-securities-and-exchange-board-of-india-act-1992_1.html,legislation,Securities regulation,Securities regulation
legal_text,India Code,POCSO Act,https://www.indiacode.nic.in/handle/123456789/2132,legislation,Child protection act,Child protection act
legal_text,India Code,Competition Act 2002,https://www.cci.gov.in/sites/default/files/the_competition_act.pdf,legislation,Antitrust and monopoly law,Antitrust and monopoly law
legal_text,India Code,UAPA 1967,https://www.indiacode.nic.in/handle/123456789/2044,legislation,Unlawful activities prevention,Unlawful activities prevention
legal_text,India Code,Wildlife Protection Act,https://www.indiacode.nic.in/handle/123456789/1753,legislation,"Wildlife crime, species protection","Wildlife crime, species protection"
legal_text,India Code,DPDP Act 2023,https://www.meity.gov.in/writereaddata/files/Digital%20Personal%20Data%20Protection%20Act%202023.pdf,legislation,Digital personal data protection,Digital personal data protection
legal_text,India Code,Scheduled Castes Act 1989,https://www.indiacode.nic.in/handle/123456789/1252,legislation,SC/ST prevention of atrocities,SC/ST prevention of atrocities
judiciary,Courts/Judiciary,eCourts National Portal,https://ecourts.gov.in,court/legal,"Case status, orders, cause lists","Case status, orders, cause lists"
judiciary,Courts/Judiciary,NJDG National Judicial Data Grid,https://njdg.ecourts.gov.in,court/legal,"Pendency, institution, disposal","Pendency, institution, disposal"
judiciary,Courts/Judiciary,NJDG High Court Data,https://njdg.ecourts.gov.in/hcnjdg/,court/legal,HC pendency by case type,HC pendency by case type
judiciary,Courts/Judiciary,NJDG District Courts,https://njdg.ecourts.gov.in/njdg_public/,court/legal,District court pendency live,District court pendency live
judiciary,Courts/Judiciary,Supreme Court Judgments,https://www.sci.gov.in/judgements-case-no/,court/legal,All SC judgments searchable,All SC judgments searchable
judiciary,Courts/Judiciary,SCI Latest Orders,https://www.sci.gov.in/latest-orders/,court/legal,Daily orders,Daily orders
judiciary,Courts/Judiciary,SCI Landmark Judgments,https://www.sci.gov.in/landmark-judgment-summaries/,court/legal,Landmark case summaries,Landmark case summaries
judiciary,Courts/Judiciary,NGT Judgments,https://greentribunal.gov.in/judgementOrder/zonalbenchwise,court/legal,Environment court orders,Environment court orders
judiciary,Courts/Judiciary,eCourts Case Status API,https://services.ecourts.gov.in,court/legal,REST API for case tracking,REST API for case tracking
judiciary,Courts/Judiciary,NCLT Portal,https://nclt.gov.in,court/legal,"Company law, insolvency cases","Company law, insolvency cases"
judiciary,Courts/Judiciary,DRT Debt Recovery Tribunals,https://drtindia.gov.in,court/legal,"Debt recovery, NPA cases","Debt recovery, NPA cases"
judiciary,Courts/Judiciary,ITAT Income Tax Tribunal,https://itat.gov.in,court/legal,Income tax disputes,Income tax disputes
judiciary,Courts/Judiciary,CESTAT Tribunal,https://cestat.gov.in,court/legal,Customs and excise disputes,Customs and excise disputes
judiciary,Courts/Judiciary,TDSAT Telecom Tribunal,https://www.tdsat.gov.in,court/legal,Telecom disputes,Telecom disputes
judiciary,Courts/Judiciary,OGD Court Pendency Dataset,https://www.data.gov.in/resource/court-wise-number-pending-cases-district-and-subordinate-courts-high-courts-and-supreme,court/legal,Pendency stats dataset,Pendency stats dataset
judiciary,Courts/Judiciary,Allahabad HC,https://www.allahabadhighcourt.in,court/legal,UP High Court — largest in India,UP High Court — largest in India
judiciary,Courts/Judiciary,Bombay HC,https://bombayhighcourt.nic.in,court/legal,"Maharashtra, Goa, Dadra","Maharashtra, Goa, Dadra"
judiciary,Courts/Judiciary,Madras HC,https://www.hcmadras.tn.nic.in,court/legal,"Tamil Nadu, Puducherry","Tamil Nadu, Puducherry"
judiciary,Courts/Judiciary,Delhi HC,https://delhihighcourt.nic.in,court/legal,National capital territory,National capital territory
judiciary,Courts/Judiciary,Calcutta HC,https://calcuttahighcourt.gov.in,court/legal,"West Bengal, Andaman","West Bengal, Andaman"
judiciary,Courts/Judiciary,Karnataka HC,https://karnatakajudiciary.kar.nic.in,court/legal,Karnataka,Karnataka
judiciary,Courts/Judiciary,Telangana HC,https://hcts.gov.in,court/legal,Telangana,Telangana
judiciary,Courts/Judiciary,Kerala HC,https://www.hckerala.gov.in,court/legal,"Kerala, Lakshadweep","Kerala, Lakshadweep"
judiciary,Courts/Judiciary,Gujarat HC,https://gujarathighcourt.nic.in,court/legal,Gujarat,Gujarat
judiciary,Courts/Judiciary,Rajasthan HC,https://hcraj.nic.in,court/legal,Rajasthan — Jodhpur and Jaipur,Rajasthan — Jodhpur and Jaipur
judiciary,Courts/Judiciary,Punjab & Haryana HC,https://highcourtchd.gov.in,court/legal,"Punjab, Haryana, Chandigarh","Punjab, Haryana, Chandigarh"
judiciary,Courts/Judiciary,MP HC,https://mphc.gov.in,court/legal,Madhya Pradesh,Madhya Pradesh
judiciary,Courts/Judiciary,Gauhati HC,https://ghconline.gov.in,court/legal,Assam and all NE states,Assam and all NE states
judiciary,Courts/Judiciary,AP HC,https://hcap.nic.in,court/legal,Andhra Pradesh,Andhra Pradesh
judiciary,Courts/Judiciary,Chhattisgarh HC,https://highcourt.cg.gov.in,court/legal,Chhattisgarh,Chhattisgarh
judiciary,Courts/Judiciary,Jharkhand HC,https://jharkhandhighcourt.nic.in,court/legal,Jharkhand,Jharkhand
judiciary,Courts/Judiciary,Orissa HC,https://orissahighcourt.nic.in,court/legal,Odisha,Odisha
judiciary,Courts/Judiciary,Tripura HC,https://triphighcourt.gov.in,court/legal,Tripura,Tripura
judiciary,Courts/Judiciary,Uttarakhand HC,https://uttarakhandhighcourt.net.in,court/legal,Uttarakhand,Uttarakhand
judiciary,Courts/Judiciary,Himachal Pradesh HC,https://hphighcourt.nic.in,court/legal,Himachal Pradesh,Himachal Pradesh
judiciary,Courts/Judiciary,Sikkim HC,https://sikkim.gov.in/highcourt,court/legal,Sikkim,Sikkim
judiciary,Courts/Judiciary,Manipur HC,https://mhc.nic.in,court/legal,Manipur,Manipur
judiciary,Courts/Judiciary,Meghalaya HC,https://meghalayahighcourt.nic.in,court/legal,Meghalaya,Meghalaya
judiciary,Courts/Judiciary,Nagaland HC,https://nalhc.nic.in,court/legal,Nagaland,Nagaland
judiciary,Courts/Judiciary,Jammu & Kashmir HC,https://jkhighcourt.nic.in,court/legal,J&K and Ladakh,J&K and Ladakh
finance,Finance/Banking/Regulators,RBI DBIE Data Warehouse,https://data.rbi.org.in/DBIE/,financial data,"Macro, monetary, banking statistics","Macro, monetary, banking statistics"
finance,Finance/Banking/Regulators,RBI Statistics,https://www.rbi.org.in/Scripts/Statistics.aspx,financial data,RBI publications,RBI publications
finance,Finance/Banking/Regulators,RBI Enforcement Orders,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx,financial data,Bank penalties,Bank penalties
finance,Finance/Banking/Regulators,SEBI Statistics,https://www.sebi.gov.in/statistics/statistics.html,financial data,"Market stats, FPI, MF","Market stats, FPI, MF"
finance,Finance/Banking/Regulators,SEBI Enforcement Orders,https://www.sebi.gov.in/enforcement/orders/,financial data,"Penalties, bans by entity","Penalties, bans by entity"
finance,Finance/Banking/Regulators,SEBI Insider Trading Orders,https://www.sebi.gov.in/enforcement/orders/insider-trading/,financial data,Insider trading adjudications,Insider trading adjudications
finance,Finance/Banking/Regulators,MCA21 Portal,https://www.mca.gov.in,financial data,"Company master, filings, directors","Company master, filings, directors"
finance,Finance/Banking/Regulators,MCA Master Data Download,https://www.mca.gov.in/content/mca/global/hi/mca/master-data/MDS.html,financial data,Bulk company master data,Bulk company master data
finance,Finance/Banking/Regulators,MCA ROC e-Filings,https://efiling.mca.gov.in,financial data,"Balance sheets, P&L, directors","Balance sheets, P&L, directors"
finance,Finance/Banking/Regulators,Income Tax e-Filing,https://www.incometax.gov.in,financial data,"ITR filings, refunds, e-PAN","ITR filings, refunds, e-PAN"
finance,Finance/Banking/Regulators,CBIC Customs GST,https://www.cbic.gov.in,financial data,"GST, customs, excise","GST, customs, excise"
finance,Finance/Banking/Regulators,GST Portal,https://www.gst.gov.in,financial data,"GSTIN search, filing status","GSTIN search, filing status"
finance,Finance/Banking/Regulators,CGA Controller General,https://cga.nic.in,financial data,Government expenditure accounts,Government expenditure accounts
finance,Finance/Banking/Regulators,CAG Audit Reports,https://cag.gov.in,financial data,All CAG central/state audit reports,All CAG central/state audit reports
finance,Finance/Banking/Regulators,CAG Compliance Reports,https://cag.gov.in/cag_old/content/compliance-audit-reports,financial data,Scheme compliance audits,Scheme compliance audits
finance,Finance/Banking/Regulators,DEA Dept Economic Affairs,https://dea.gov.in,financial data,"Economic policy, debt, markets","Economic policy, debt, markets"
finance,Finance/Banking/Regulators,DOE Dept of Expenditure,https://doe.gov.in,financial data,"Budget, expenditure management","Budget, expenditure management"
finance,Finance/Banking/Regulators,DFS Financial Services,https://financialservices.gov.in,financial data,"Banking, insurance, pensions","Banking, insurance, pensions"
finance,Finance/Banking/Regulators,DIPAM Disinvestment,https://dipam.gov.in,financial data,"PSU disinvestment, shareholding","PSU disinvestment, shareholding"
finance,Finance/Banking/Regulators,Dept of Revenue,https://dor.gov.in,financial data,"Tax policy, enforcement","Tax policy, enforcement"
finance,Finance/Banking/Regulators,IRDAI Insurance Regulator,https://irdai.gov.in,financial data,Insurance sector regulation,Insurance sector regulation
finance,Finance/Banking/Regulators,PFRDA Pension Regulator,https://www.pfrda.org.in,financial data,"Pension funds, NPS data","Pension funds, NPS data"
finance,Finance/Banking/Regulators,Finance Commission,https://fincomindia.nic.in,financial data,"Federal transfers, state grants","Federal transfers, state grants"
finance,Finance/Banking/Regulators,FIU India,https://fiuindia.gov.in,financial data,"STR, anti-money laundering data","STR, anti-money laundering data"
finance,Finance/Banking/Regulators,Open Budgets India,https://openbudgetsindia.org,financial data,All state budget documents,All state budget documents
finance,Finance/Banking/Regulators,OGD Budget Datasets,https://www.data.gov.in/keywords/Budget,financial data,Year-wise budget datasets,Year-wise budget datasets
finance,Finance/Banking/Regulators,OGD NPA Data,https://www.data.gov.in/keywords/NPA,financial data,Bank bad loans by year,Bank bad loans by year
finance,Finance/Banking/Regulators,Ministry of Finance Portal,https://finmin.nic.in,financial data,Finance ministry portal,Finance ministry portal
environment,Environment/Forest/Climate,MoEFCC Portal,https://moef.gov.in,environment data,"Environment policy, notifications","Environment policy, notifications"
environment,Environment/Forest/Climate,PARIVESH Clearances,https://parivesh.nic.in,environment data,"Forest, wildlife, EC, CRZ clearances","Forest, wildlife, EC, CRZ clearances"
environment,Environment/Forest/Climate,PARIVESH Project Search,https://parivesh.nic.in/newupload/,environment data,Project-wise clearance status,Project-wise clearance status
environment,Environment/Forest/Climate,FSI Forest Survey India,https://fsi.nic.in,environment data,"Forest cover, fires, ISFR reports","Forest cover, fires, ISFR reports"
environment,Environment/Forest/Climate,FSI ISFR 2023 Report,https://fsi.nic.in/forest-report/india-state-of-forest-report-2023,environment data,Biennial forest cover assessment,Biennial forest cover assessment
environment,Environment/Forest/Climate,FSI Forest Fire Alerts,https://fsi.nic.in/forest-fire,environment data,MODIS/VIIRS real-time fire alerts,MODIS/VIIRS real-time fire alerts
environment,Environment/Forest/Climate,CPCB Central Pollution Board,https://cpcb.nic.in,environment data,"Pollution standards, compliance","Pollution standards, compliance"
environment,Environment/Forest/Climate,CPCB Real-time AQI,https://app.cpcbccr.com/AQI_India/,environment data,"PM2.5, PM10 city-wise live data","PM2.5, PM10 city-wise live data"
environment,Environment/Forest/Climate,CPCB Water Quality,https://cpcb.nic.in/water-quality-data/,environment data,River water quality parameters,River water quality parameters
environment,Environment/Forest/Climate,CPCB Industry Compliance,https://cpcb.nic.in/noc-for-industries/,environment data,Green/orange/red factory compliance,Green/orange/red factory compliance
environment,Environment/Forest/Climate,NGT Forest/Env Orders,https://greentribunal.gov.in,environment data,"Forest, mining, pollution orders","Forest, mining, pollution orders"
environment,Environment/Forest/Climate,CRZ Notifications MoEFCC,https://moef.gov.in/moef/index3.php?linkid=343&lang=1,environment data,"CRZ, mangrove protection orders","CRZ, mangrove protection orders"
environment,Environment/Forest/Climate,Maharashtra Mangrove Cell,https://www.mangroves.maharashtra.gov.in,environment data,"Mumbai mangroves, coastal ecology","Mumbai mangroves, coastal ecology"
environment,Environment/Forest/Climate,Maharashtra Forest Dept,https://mahaforest.gov.in,environment data,Western Ghats forest data,Western Ghats forest data
environment,Environment/Forest/Climate,WCCB Wildlife Crime,https://wccb.gov.in,environment data,"Trafficking, poaching statistics","Trafficking, poaching statistics"
environment,Environment/Forest/Climate,NTCA Tiger Authority,https://ntca.gov.in,environment data,"Tiger census, project tiger","Tiger census, project tiger"
environment,Environment/Forest/Climate,CWC Central Water Commission,https://cwc.gov.in,environment data,"Reservoir levels, flood data","Reservoir levels, flood data"
environment,Environment/Forest/Climate,India WRIS GIS Portal,https://indiawris.gov.in,environment data,GIS-based water resources,GIS-based water resources
environment,Environment/Forest/Climate,CAMPA Fund Data,https://www.data.gov.in/catalog/state-wise-campa-funds,environment data,Compensatory afforestation funds,Compensatory afforestation funds
environment,Environment/Forest/Climate,Bhuvan ISRO Geospatial,https://bhuvan.nrsc.gov.in,environment data,"India GIS portal, forest cover maps","India GIS portal, forest cover maps"
environment,Environment/Forest/Climate,NRSC Open Data Archive,https://www.nrsc.gov.in/NRSC_Open_Data_Archive,environment data,Satellite data download,Satellite data download
environment,Environment/Forest/Climate,MOSDAC Weather ISRO,https://www.mosdac.gov.in,environment data,INSAT-based weather data,INSAT-based weather data
environment,Environment/Forest/Climate,CGWB Groundwater Board,https://cgwb.gov.in,environment data,District-wise groundwater monitoring,District-wise groundwater monitoring
environment,Environment/Forest/Climate,OGD Environment Sector,https://www.data.gov.in/sector/Environment%20and%20Forest,environment data,All environment datasets,All environment datasets
environment,Environment/Forest/Climate,OGD MoEFCC Catalog,https://www.data.gov.in/catalogs?ministry=Ministry+of+Environment%2C+Forest+and+Climate+Change,environment data,MoEFCC datasets,MoEFCC datasets
environment,Environment/Forest/Climate,OGD Green India Mission,https://www.data.gov.in/catalog/green-india-mission-gim-data,environment data,"Afforestation, carbon sinks dataset","Afforestation, carbon sinks dataset"
pollution_board,Maharashtra PCB,Maharashtra Pollution Control Board,https://mpcb.gov.in,state regulator,"Pollution monitoring, industry compliance, mangrove violations","Industrial consent, enforcement orders"
pollution_board,Karnataka PCB,Karnataka Pollution Control Board,https://kspcb.karnataka.gov.in,state regulator,"Pollution board orders, consent management","Industrial consent, enforcement orders"
pollution_board,Tamil Nadu PCB,Tamil Nadu Pollution Control Board,https://tnpcb.gov.in,state regulator,"Air, water, noise compliance, SIPCOT zones","Industrial consent, enforcement orders"
pollution_board,Kerala PCB,Kerala Pollution Control Board,https://www.kspcb.kerala.gov.in,state regulator,"Kerala pollution data, coastal alerts","Industrial consent, enforcement orders"
pollution_board,Delhi PCB,Delhi Pollution Control Board,https://dpcc.delhigovt.nic.in,state regulator,"Delhi pollution control, odd-even data","Industrial consent, enforcement orders"
pollution_board,Gujarat PCB,Gujarat Pollution Control Board,https://gpcb.gujarat.gov.in,state regulator,"Industrial pollution, GIDC compliance","Industrial consent, enforcement orders"
pollution_board,Andhra Pradesh PCB,Andhra Pradesh Pollution Control Board,https://www.appcb.ap.gov.in,state regulator,AP pollution board orders,"Industrial consent, enforcement orders"
pollution_board,Telangana PCB,Telangana Pollution Control Board,https://tspcb.cgg.gov.in,state regulator,"TS pollution board, industry consents","Industrial consent, enforcement orders"
pollution_board,Rajasthan PCB,Rajasthan Pollution Control Board,https://www.rpcb.nic.in,state regulator,Rajasthan pollution compliance,"Industrial consent, enforcement orders"
pollution_board,West Bengal PCB,West Bengal Pollution Control Board,https://www.wbpcb.gov.in,state regulator,"WB pollution, tanneries, factories, Ganga","Industrial consent, enforcement orders"
pollution_board,Odisha PCB,Odisha Pollution Control Board,https://ospcb.gov.in,state regulator,"Odisha pollution board, mining areas","Industrial consent, enforcement orders"
pollution_board,Uttar Pradesh PCB,Uttar Pradesh Pollution Control Board,https://uppcb.com,state regulator,"UP pollution board, industrial zones","Industrial consent, enforcement orders"
pollution_board,Madhya Pradesh PCB,Madhya Pradesh Pollution Control Board,https://mppcb.mp.gov.in,state regulator,"MP pollution data, Bhopal legacy","Industrial consent, enforcement orders"
pollution_board,Punjab PCB,Punjab Pollution Control Board,https://www.ppcb.gov.in,state regulator,"Punjab pollution, Sutlej river data","Industrial consent, enforcement orders"
pollution_board,Haryana PCB,Haryana Pollution Control Board,https://hppcb.gov.in,state regulator,Haryana pollution compliance,"Industrial consent, enforcement orders"
pollution_board,Bihar PCB,Bihar Pollution Control Board,https://bspcb.bih.nic.in,state regulator,Bihar pollution board,"Industrial consent, enforcement orders"
pollution_board,Jharkhand PCB,Jharkhand Pollution Control Board,https://jpb.jharkhand.gov.in,state regulator,"Jharkhand pollution, mining zones","Industrial consent, enforcement orders"
pollution_board,Assam PCB,Assam Pollution Control Board,https://apcb.gov.in,state regulator,Assam pollution board,"Industrial consent, enforcement orders"
pollution_board,Chhattisgarh PCB,Chhattisgarh Pollution Control Board,https://cgpb.gov.in,state regulator,"CG pollution, coal and steel zones","Industrial consent, enforcement orders"
pollution_board,Uttarakhand PCB,Uttarakhand Pollution Control Board,https://ubpcb.uk.gov.in,state regulator,Uttarakhand pollution board,"Industrial consent, enforcement orders"
pollution_board,Goa PCB,Goa Pollution Control Board,https://gpcb.gov.in,state regulator,"Goa pollution, mining, coastal","Industrial consent, enforcement orders"
